target_D,horizon,round,statistical_bound_component,historical_bound_component,path_inflation_component,current_bias_cumulative,cumulative_pseudo_regret,sharp_theorem_rhs,aggregate_sha256
0.25,1000,1,11.963809034752169,0,0,0.00049435312278775967,0.20563867121313714,11.964303387874953,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,10,179.6035962319624,0.080297368457095786,0.12029434878609266,0.006476615441009608,1.7796079843711079,179.81066456464657,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,20,424.71812763716332,0.28909937229846266,0.90671335525786168,0.01778048818590389,3.608909490463879,425.9317208529057,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,30,668.21026549048315,0.61328917219666668,2.4915951598322272,0.033568812815077398,5.3718024344816486,671.3487186353268,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,40,886.97937577085668,1.0240794529220967,4.5747680084697482,0.052135807649364131,6.8603160889247201,892.63035903989805,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,50,1087.735010884194,1.4946647570051299,6.8620715849231688,0.071573909009059106,8.2710181021211771,1096.1633211351316,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,60,1274.2834374937438,2.0027239257871954,9.2319831497564024,0.091284582151752169,9.5363396922229242,1285.6094291514391,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,70,1450.8934810776161,2.5379579062491349,11.631083620362656,0.11103509454489964,10.846841576141772,1465.173557698773,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,80,1619.9717557210208,3.0939298041774328,14.058943101592808,0.13077831301830339,12.123307670580575,1637.2554069398088,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,90,1781.6900354734671,3.6639459929321538,16.478203470083354,0.15051680484235011,13.314762291692691,1801.9827017413252,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,100,1937.7556862036081,4.2464511651311474,18.898003430504531,0.17024346890356784,14.604146496069667,1961.0703842681478,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,110,2087.9913025157598,4.837401569762287,21.309024495432467,0.1899622665405854,15.762006835996344,2114.3276908474963,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,120,2233.8249655361524,5.4371880439679172,23.720839907282933,0.20969282777693199,16.90449941789073,2263.1926863151793,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,130,2375.1535711450733,6.0432166748223786,26.122247705067704,0.22942773161710747,18.058341235562828,2407.5484632565804,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,140,2512.5262748720461,6.6550297877013236,28.4994877718472,0.24915500787760742,19.076159395143044,2547.9299474394734,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,150,2646.5604979267609,7.2726458290797931,30.861515498412373,0.26888784622909578,20.10392232862803,2684.9635471004822,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,160,2777.7348587085407,7.8959520202823752,33.21397830171761,0.28861163042855498,21.191723550532505,2819.1334006609691,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,170,2905.8265182877717,8.5232007656983928,35.573090916697673,0.3083539234462041,22.252789356455455,2950.2311638936162,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
0.25,1000,180,3031.4642340854975,9.1552816913048716,37.95478600702733,0.32809776898704812,23.234159338887899,3078.902399552816,0ddebd4915dd2e264e24b7b25047d24f86c3cdf63930a1e6df77585e0b97de02
